요구사항 ID,요구사항명,기능 ID,기능명,상세 설명,필수 데이터,선택 데이터
P0,P0,P0,,,,
,,,,,,
MEM01,로그인 및 프로필 설정,MEM01_01,초기 진입 및 레이아웃 설정,서비스 접속 시 중앙 정렬된 모바일 전용 뷰를 렌더링한다. 브라우저 저장소에서 토큰 유효성을 확인하여 자동 로그인 여부를 판단한다.,"브라우저 저장소 데이터, 뷰포트 정보",
MEM01,로그인 및 프로필 설정,MEM01_02,사용자 인증,"구글, 네이버 소셜 로그인 및 로컬(이메일) 로그인을 제공한다. 성공 시 인증 토큰을 저장한다. 나이 정보는 수집하지 않으며 가입 연령 제한도 두지 않는다.",소셜/로컬 인증 정보,
MEM01,로그인 및 프로필 설정,MEM01_03,유저 상태별 화면 분기,"유저의 인증 상태 및 가입 경로에 따라 적절한 화면으로 이동시킨다.
1. 미인증 유저: 로그인 화면
2. 신규 로컬 가입 유저: 프로필 설정 화면
3. 인증 완료 유저: 메인 대시보드","유저 가입 상태 플래그, 라우팅 경로 URL",-
MEM01,로그인 및 프로필 설정,MEM01_04,프로필 설정 (로컬 전용),"소셜 가입자는 기존 정보를 자동 연동하여 즉시 메인으로 진입시킨다. 로컬 가입자는 회원가입 과정에서 아이디와 비밀번호, 닉네임을 입력하고 가입하게 된다. 입력 완료 후 메인으로 이동한다.","소셜 프로필(소셜용), 직접 입력 닉네임(로컬용)",
DASH01,메인 대시보드,DASH01_01,개인화 성장 지표 시각화,"최상단에 유저의 닉네임, 현재 레벨(Lv), 경험치(XP) 게이지를 시각화하여 배치한다. 

※ 예외: 데이터 로딩 실패 시 스켈레톤 UI를 노출하고 3회 재시도한다.","유저 고유 ID, 닉네임, 현재 레벨, 누적 XP",프로필 이미지
DASH01,메인 대시보드,DASH01_03,주제별 카테고리 그리드,"부동산, 금융, 커리어, 투자 등 4대 주요 카테고리를 그리드 형태로 제공하며, 각 항목에 현재 학습 상태(학습 중 등)를 표시한다.",주제별 학습 진척도 데이터 (%),카테고리별 아이콘/컬러
DASH01,메인 대시보드,DASH01_06,데이터 실시간 업데이트,"유저가 학습 세션을 마치고 대시보드로 복귀할 때, 획득한 XP와 진행률을 백그라운드에서 즉시 갱신하여 시각화한다.","유저 고유 ID, 업데이트된 XP/진척도",세션 완료 로그
LRN01,단어 학습 유형,LRN01_02,4지 선다형 퀴즈 렌더링,유형 1(개념 매칭) 및 유형 2(문장 빈칸 채우기) 문제를 4지 선다형 인터페이스로 구현하여 사용자에게 제시한다.,"퀴즈 세트(문제, 4개 선지, 정답 인덱스)","챕터 정보, 활용 예문"
